NumPEs,Pipeline,Merged_QQ,Joint Scratchpad,Scratchpad_0_Size,Scratchpad 0 Banks,Scratchpad 1 Size,Scratchpad 1 Banks,Scratchpad 2 Size,Scratchpad 2 Banks,Ideal,Queries Processed,Nodes Visited,Point Accesses,Node Accesses,Stack Accesses,Conflicts,Stages Stalled,Percent Time Stalled,Lines Processed,Num Cycles,Average Cycles per Node Traversed
1,True,True,False,5000000,1,NA,NA,NA,NA,False,119254,1824414,2023529,2023529,6309095,20427682,108129571,0.314027309082488,75228335,10760367,5.8979853256991
1,True,True,False,5000000,2,NA,NA,NA,NA,False,119254,1811394,2023529,2023529,6309095,9089925,53347700,0.232579656146387,75228335,7167934,3.95713687911078
1,True,True,False,5000000,4,NA,NA,NA,NA,False,119254,1841956,2023529,2023529,6309095,3881375,26412321,0.152943168232383,75228335,5396678,2.92986260258117
1,True,True,False,5000000,8,NA,NA,NA,NA,False,119254,1890380,2023529,2023529,6309095,1679468,13434052,0.092777955435372,75228335,4524934,2.39366370782594
1,True,True,False,5000000,16,NA,NA,NA,NA,False,119254,1903772,2023529,2023529,6309095,763468,6803753,0.051569211668829,75228335,4122950,2.1656742509082
1,True,True,False,5000000,32,NA,NA,NA,NA,False,119254,1904408,2023529,2023529,6309095,372908,3260169,0.025909851171357,75228335,3932106,2.06473927855796
1,True,True,False,5000000,64,NA,NA,NA,NA,False,119254,1904858,2023529,2023529,6309095,222874,1725807,0.013988560649251,75228335,3855398,2.02398184011617
2,True,True,False,5000000,1,NA,NA,NA,NA,False,119254,1684336,2023529,2023529,6309095,40319247,257703460,0.480438729041594,75228335,8381124,4.97592166883567
2,True,True,False,5000000,2,NA,NA,NA,NA,False,119254,1682407,2023529,2023529,6309095,18818557,141427795,0.457053018769954,75228335,4834908,2.87380402007362
2,True,True,False,5000000,4,NA,NA,NA,NA,False,119254,1723953,2023529,2023529,6309095,8203204,72749724,0.353903643508019,75228335,3211932,1.86312039829392
2,True,True,False,5000000,8,NA,NA,NA,NA,False,119254,1797127,2023529,2023529,6309095,3450397,35337221,0.224183073285894,75228335,2462916,1.37047409559814
2,True,True,False,5000000,16,NA,NA,NA,NA,False,119254,1864311,2023529,2023529,6309095,1532076,17091369,0.123665825700288,75228335,2159470,1.15832068791098
2,True,True,False,5000000,32,NA,NA,NA,NA,False,119254,1897098,2023529,2023529,6309095,744719,8865544,0.06847240449516,75228335,2023065,1.06639983806846
2,True,True,False,5000000,64,NA,NA,NA,NA,False,119254,1903710,2023529,2023529,6309095,443432,4928887,0.039059662978306,75228335,1971698,1.03571342273771
4,True,True,False,5000000,1,NA,NA,NA,NA,False,119254,1526555,2023529,2023529,6309095,94217728,844197554,0.885699297397744,75228335,7446425,4.87792775235743
