Num PEs,Pipeline,Merged QQ,Joint Scratchpad,Scratchpad 0 Size,Scratchpad 0 Banks,Scratchpad 1 Size,Scratchpad 1 Banks,Scratchpad 2 Size,Scratchpad 2 Banks,Ideal,Queries Processed,Nodes Visited,Point Accesses,Node Accesses,Stack Accesses,Conflicts,Stages Stalled,Percent Time Stalled,Lines Processed,Num Cycles,Average Cycles per Node Traversed
1,True,True,False,5000000,1,NA,NA,NA,NA,False,119254,1831940,2023529,2023529,6309095,22110789,118980123,0.3363070338602775,75228335,11055757,6.034999508717535
1,True,True,False,5000000,2,NA,NA,NA,NA,False,119254,1812604,2023529,2023529,6309095,9827815,57725781,0.24574967584044785,75228335,7340521,4.04971025110835
1,True,True,False,5000000,4,NA,NA,NA,NA,False,119254,1837933,2023529,2023529,6309095,4092417,27818872,0.15913806687483822,75228335,5462802,2.972253069072703
1,True,True,False,5000000,8,NA,NA,NA,NA,False,119254,1888178,2023529,2023529,6309095,1742635,13967971,0.09596491298943306,75228335,4548528,2.408950851032053
1,True,True,False,5000000,16,NA,NA,NA,NA,False,119254,1903814,2023529,2023529,6309095,770610,6899066,0.05222927461673361,75228335,4127873,2.168212335868945
1,True,True,False,5000000,32,NA,NA,NA,NA,False,119254,1904380,2023529,2023529,6309095,367247,3169037,0.02518832444103397,75228335,3931679,2.0645454163559793
1,True,True,False,5000000,64,NA,NA,NA,NA,False,119254,1904849,2023529,2023529,6309095,213677,1599035,0.012970939436918778,75228335,3852446,2.022441673854463
2,True,True,False,5000000,1,NA,NA,NA,NA,False,119254,1765365,2023529,2023529,6309095,48514840,323170172,0.5430950106580134,75228335,9297699,5.266728976727192
2,True,True,False,5000000,2,NA,NA,NA,NA,False,119254,1711796,2023529,2023529,6309095,22470919,168960886,0.5045821830576335,75228335,5232079,3.056485118553846
2,True,True,False,5000000,4,NA,NA,NA,NA,False,119254,1724482,2023529,2023529,6309095,9552799,83703166,0.38783618797153907,75228335,3372202,1.9554869230296401
2,True,True,False,5000000,8,NA,NA,NA,NA,False,119254,1786523,2023529,2023529,6309095,3923173,39964759,0.24753323115730874,75228335,2522689,1.4120663433944036
2,True,True,False,5000000,16,NA,NA,NA,NA,False,119254,1855357,2023529,2023529,6309095,1680005,18810669,0.13489063103795174,75228335,2178926,1.1743971645349116
2,True,True,False,5000000,32,NA,NA,NA,NA,False,119254,1894475,2023529,2023529,6309095,785118,9368493,0.07209649420155519,75228335,2030372,1.0717333298143286
2,True,True,False,5000000,64,NA,NA,NA,NA,False,119254,1903803,2023529,2023529,6309095,443105,4909683,0.03887675845151364,75228335,1973256,1.0364811905433493
4,True,True,False,5000000,1,NA,NA,NA,NA,False,119254,1741846,2023529,2023529,6309095,122809864,1106015971,0.949049969563566,75228335,9104631,5.227001124094782
4,True,True,False,5000000,2,NA,NA,NA,NA,False,119254,1599642,2023529,2023529,6309095,53583331,471982633,0.855912693069092,75228335,4308108,2.693170096809161
4,True,True,False,5000000,4,NA,NA,NA,NA,False,119254,1568125,2023529,2023529,6309095,23323894,223553877,0.7297284940028228,75228335,2393376,1.526266082104424
4,True,True,False,5000000,8,NA,NA,NA,NA,False,119254,1627137,2023529,2023529,6309095,9326717,101102282,0.5143138294737842,75228335,1535758,0.9438406231313037
4,True,True,False,5000000,16,NA,NA,NA,NA,False,119254,1734786,2023529,2023529,6309095,3772201,45089913,0.292344788153422,75228335,1204964,0.6945894190983787
4,True,True,False,5000000,32,NA,NA,NA,NA,False,119254,1825273,2023529,2023529,6309095,1686709,21594477,0.15763931082789515,75228335,1070208,0.5863276342771738
4,True,True,False,5000000,64,NA,NA,NA,NA,False,119254,1878442,2023529,2023529,6309095,912786,11369542,0.08674026504620475,75228335,1024029,0.5451480535465029
8,True,True,False,5000000,1,NA,NA,NA,NA,False,119254,1740738,2023529,2023529,6309095,391206467,3067471840,1.3174146619092033,75228335,9095323,5.224981013799894
8,True,True,False,5000000,2,NA,NA,NA,NA,False,119254,1541707,2023529,2023529,6309095,137178717,1405737028,1.3602718248699284,75228335,4036811,2.6184034969031083
8,True,True,False,5000000,4,NA,NA,NA,NA,False,119254,1429339,2023529,2023529,6309095,61707519,642976759,1.256394436651608,75228335,1999076,1.398601731289778
8,True,True,False,5000000,8,NA,NA,NA,NA,False,119254,1421234,2023529,2023529,6309095,23720465,256702271,0.9457566774914997,75228335,1060255,0.7460101573702853
8,True,True,False,5000000,16,NA,NA,NA,NA,False,119254,1521183,2023529,2023529,6309095,9166077,107864249,0.5795543732333583,75228335,727015,0.4779273762591352
8,True,True,False,5000000,32,NA,NA,NA,NA,False,119254,1666283,2023529,2023529,6309095,3825350,48785621,0.32169271132261634,75228335,592394,0.3555182402989168
8,True,True,False,5000000,64,NA,NA,NA,NA,False,119254,1786115,2023529,2023529,6309095,1889506,24207043,0.1739094866490168,75228335,543724,0.3044171287962981
16,True,True,False,5000000,1,NA,NA,NA,NA,False,119254,1740405,2023529,2023529,6309095,724604427,5419712684,1.1647415648571837,75228335,9088176,5.2218742189318
16,True,True,False,5000000,2,NA,NA,NA,NA,False,119254,1535433,2023529,2023529,6309095,335562466,3465215227,1.6847337869190586,75228335,4017251,2.6163635925501145
16,True,True,False,5000000,4,NA,NA,NA,NA,False,119254,1394494,2023529,2023529,6309095,162236432,1755648486,1.776462601933515,75228335,1930241,1.3841873826635325
16,True,True,False,5000000,8,NA,NA,NA,NA,False,119254,1286580,2023529,2023529,6309095,67224832,719143980,1.5354490115379107,75228335,914767,0.7110066999331561
16,True,True,False,5000000,16,NA,NA,NA,NA,False,119254,1283387,2023529,2023529,6309095,25250912,279646284,1.0700492104435682,75228335,510429,0.39772025117910653
16,True,True,False,5000000,32,NA,NA,NA,NA,False,119254,1412758,2023529,2023529,6309095,10010061,118857984,0.6478366793362691,75228335,358338,0.25364429010488704
16,True,True,False,5000000,64,NA,NA,NA,NA,False,119254,1583825,2023529,2023529,6309095,4263269,53096385,0.3410761980901927,75228335,304049,0.19197133521695894
32,True,True,False,5000000,1,NA,NA,NA,NA,False,119254,1738278,2023529,2023529,6309095,1570453285,13633202598,1.4671300840991537,75228335,9074638,5.220475666147762
32,True,True,False,5000000,2,NA,NA,NA,NA,False,119254,1534774,2023529,2023529,6309095,749025921,7321031745,1.7818766495418508,75228335,4012312,2.6142689412252227
32,True,True,False,5000000,4,NA,NA,NA,NA,False,119254,1388354,2023529,2023529,6309095,346983115,3461347337,1.7615699710553783,75228335,1918869,1.382117961269244
32,True,True,False,5000000,8,NA,NA,NA,NA,False,119254,1276611,2023529,2023529,6309095,137599685,1268539731,1.3673018938291783,75228335,906024,0.7097103189616885
32,True,True,False,5000000,16,NA,NA,NA,NA,False,119254,1221934,2023529,2023529,6309095,65910676,695127239,1.4354517787555217,75228335,472907,0.3870151743056499
32,True,True,False,5000000,32,NA,NA,NA,NA,False,119254,1177690,2023529,2023529,6309095,25817902,287247447,1.1213695761848201,75228335,250154,0.21241073627185422
32,True,True,False,5000000,64,NA,NA,NA,NA,False,119254,1300753,2023529,2023529,6309095,10896002,128881282,0.6825043487507456,75228335,184410,0.14177172760700918
64,True,True,False,5000000,1,NA,NA,NA,NA,False,119254,1730600,2023529,2023529,6309095,3822530057,42879518482,2.3179732470267127,75228335,9032574,5.219330867907084
64,True,True,False,5000000,2,NA,NA,NA,NA,False,119254,1531059,2023529,2023529,6309095,1348345243,14101833685,1.7204586697306063,75228335,4002224,2.614023365526737
64,True,True,False,5000000,4,NA,NA,NA,NA,False,119254,1382926,2023529,2023529,6309095,763822933,7544735322,1.927624613813623,75228335,1911136,1.3819510226866802
64,True,True,False,5000000,8,NA,NA,NA,NA,False,119254,1271743,2023529,2023529,6309095,235396921,1983055830,1.0757869949639614,75228335,900075,0.7077491285582072
64,True,True,False,5000000,16,NA,NA,NA,NA,False,119254,1206891,2023529,2023529,6309095,122089735,1084983078,1.1369603195875335,75228335,465959,0.3860820902633295
64,True,True,False,5000000,32,NA,NA,NA,NA,False,119254,1119337,2023529,2023529,6309095,54668939,527139802,1.1187232163376282,75228335,230077,0.20554756967740725
64,True,True,False,5000000,64,NA,NA,NA,NA,False,119254,1120695,2023529,2023529,6309095,26503724,283538985,0.9867628151694268,75228335,140304,0.12519374138369493
1,True,True,False,5000000,1,NA,NA,NA,NA,False,59628,915535,1011909,1011909,3154983,11027534,59249788,0.335206111592477,37619517,5523634,6.0332308431682025
1,True,True,False,5000000,2,NA,NA,NA,NA,False,59628,906415,1011909,1011909,3154983,4877207,28691384,0.24486740348541908,37619517,3661597,4.039647402128164
1,True,True,False,5000000,4,NA,NA,NA,NA,False,59628,920363,1011909,1011909,3154983,2043240,13855226,0.15856812401232726,37619517,2730535,2.9668022291204665
1,True,True,False,5000000,8,NA,NA,NA,NA,False,59628,943598,1011909,1011909,3154983,877701,7055001,0.09688141847889137,37619517,2275656,2.4116795499778507
1,True,True,False,5000000,16,NA,NA,NA,NA,False,59628,952039,1011909,1011909,3154983,387177,3473005,0.05253855080580981,37619517,2065748,2.1698144718861307
1,True,True,False,5000000,32,NA,NA,NA,NA,False,59628,952333,1011909,1011909,3154983,183750,1584863,0.025182086193799528,37619517,1966754,2.065195682602619
1,True,True,False,5000000,64,NA,NA,NA,NA,False,59628,952530,1011909,1011909,3154983,110092,854050,0.01384330554892787,37619517,1927940,2.02402024083231
2,True,True,False,5000000,1,NA,NA,NA,NA,False,59628,881332,1011909,1011909,3154983,24102779,160224161,0.5397686329141461,37619517,4638103,5.262605919222268
2,True,True,False,5000000,2,NA,NA,NA,NA,False,59628,855947,1011909,1011909,3154983,11133570,83910546,0.5030121907637132,37619517,2606502,3.0451675162130365
2,True,True,False,5000000,4,NA,NA,NA,NA,False,59628,862414,1011909,1011909,3154983,4752298,41685126,0.38664494820336837,37619517,1684569,1.953318243906059
2,True,True,False,5000000,8,NA,NA,NA,NA,False,59628,892523,1011909,1011909,3154983,1976299,20161150,0.24956741639572322,37619517,1262256,1.4142559911621324
2,True,True,False,5000000,16,NA,NA,NA,NA,False,59628,927998,1011909,1011909,3154983,844733,9461639,0.13554437051377144,37619517,1090699,1.1753247313033002
